crim_or_tax,word,count
crim,paragraphs,102
crim,38-39,32
crim,19-23,17
crim,35-36,37
crim,example,1658
crim,553-54,22
crim,narrower,137
crim,opening,162
crim,lamer,254
crim,mcintyre,122
crim,sopinka,107
crim,tried,398
crim,protect,877
crim,pre-charge,104
crim,perspective,229
crim,echoing,32
crim,statement,3594
crim,professor,272
crim,observes,107
crim,guidance,322
crim,obtained,1027
crim,expressed,389
crim,drawn,419
crim,parts,307
crim,pre-charter,17
crim,helpful,314
crim,indicia,297
crim,study,82
crim,mind,1302
crim,heart,224
crim,supported,417
crim,effect,2227
crim,substantive,1079
crim,mclachlin,1542
crim,call,754
crim,displaced,57
crim,interpretive,157
crim,changes,364
crim,45-46,22
crim,explains,102
crim,able,731
crim,charge,2573
crim,i-21,64
crim,22-25,17
crim,pillar,27
crim,lies,337
crim,23-24,42
crim,safeguards,509
crim,enshrin,17
crim,notion,152
crim,engaged,857
crim,1152,17
crim,unambiguous,57
crim,retroactive,17
crim,essential,937
crim,free,357
crim,democratic,152
crim,citizens,117
crim,foresee,72
crim,notice,772
crim,avoid,477
crim,stop,182
crim,actively,42
crim,greater,535
crim,committing,267
crim,present-day,17
crim,frustrate,72
crim,proportionality,281
crim,718.1,74
crim,high,587
crim,outdated,49
crim,moral,279
crim,blameworthiness,72
crim,attracted,22
crim,life,1087
crim,imprisoned,42
crim,attracts,27
crim,unfairly,86
crim,step,448
crim,norms,129
crim,modernized,22
crim,adopting,122
crim,entitling,17
crim,expansion,32
crim,judged,94
crim,decrease,102
crim,coincides,17
crim,merely,649
crim,guaranteeing,17
crim,designates,17
crim,mean,572
crim,receives,227
crim,higher,199
crim,broke,87
crim,chevrette,34
crim,tanguay-renaud,34
crim,lors,17
crim,arrestation,17
crim,détention,22
crim,contre,112
crim,incrimination,17
crim,rétroactive,17
crim,g.–a,17
crim,beaudoin,17
crim,mendes,17
crim,eds.,62
crim,appear,544
crim,centres,102
crim,counteract,34
crim,randomness,27
crim,arbitrariness,117
crim,indication,276
crim,reiterate,96
crim,reads,199
crim,emphasizes,109
crim,denotes,72
crim,says,511
crim,specified,402
crim,extent,989
crim,french,292
crim,employs,64
crim,broader,454
crim,evoking,17
crim,precedence,17
crim,bilingual,22
crim,authoritative,27
crim,encompasses,132
crim,intent,2227
crim,capture,132
crim,placed,539
crim,similar,1076
crim,globally,68
crim,evokes,34
crim,necessarily,554
crim,changed,343
crim,orientation,27
crim,toward,152
crim,tells,54
crim,situation,812
crim,reject,263
crim,whereas,174
crim,comparative,69
crim,terms,870
crim,ending,74
crim,single,426
crim,thing,407
crim,others,684
crim,another,1617
crim,speak,219
crim,better,252
crim,best,749
crim,heights,17
crim,highest,62
crim,faster,17
crim,speeds,17
crim,fastest,17
crim,give,1630
crim,employing,17
crim,obviously,187
crim,phrase,332
crim,uses,372
crim,articulations,22
crim,85-87,17
crim,bastarache,102
crim,overcomes,32
crim,counterbalances,17
crim,evolving,102
crim,open-ended,72
crim,unreasonable,1127
crim,cruel,17
crim,unusual,57
crim,enunciates,17
crim,enacted,281
crim,constant,57
crim,something,442
crim,direction,212
crim,useful,157
crim,published,72
crim,possibly,129
crim,earliest,62
crim,documented,17
crim,account,1133
crim,omission,358
crim,penalty,327
crim,p.54,17
crim,emphasis,1707
crim,apparent,362
crim,early,617
crim,face,701
crim,heavy,104
crim,occurring,72
crim,publication,57
crim,introducing,67
